Genre,Total_Earnings,Total_Players,Total_Tournaments
Multiplayer Online Battle Arena,445974616.62999988,17291,5539
First-Person Shooter,296969619.29999995,44506,13348
Battle Royale,202033493.57999998,12450,1686
Strategy,77578197.169999987,9295,10940
Collectible Card Game,41612491.03,4425,1618
Sports,38104396.390000008,4689,3115
Fighting Game,23803414.9,14108,10069
Racing,11986671.93,3843,1330
Role-Playing Game,8411452.8300000019,820,255
Third-Person Shooter,5512086.38,474,98
Puzzle Game,72776.89,216,89
