Year,Tournaments,Players,Earnings
2021,4190,48002,201868384.9199999
2020,4907,53323,124898226.55
2019,5767,57305,240725879.74000013
2018,4768,46712,167477019.85999981
2017,4922,39849,116750240.55999997
2016,4811,34240,98166373.079999954
2015,5267,30793,67187356.25999999
2014,3146,17506,37798046.769999966
2013,2311,12841,22274739.750000004
2012,1994,10337,14210807.080000004
2011,1661,7513,10591047.969999999
2010,997,6123,6341198.1400000006
2009,663,4930,4190452.3699999987
2008,543,4681,7602921.5100000035
2007,505,4535,7460049.4999999972
2006,406,3870,5657830.3400000008
2005,330,2936,4311856.9399999995
2004,270,2491,2849828.5899999989
2003,187,1502,1784460.07
2002,80,793,1268219.59
2001,63,574,893764.46
2000,64,347,745307.49
1999,16,82,275153.83999999997
1998,9,43,131700.0
